# MAG-FI RAW MAPPING DATA
# Mapper: Shanteshwar
# Building: 1
# Floor: 3
# Exported: 20260523_084454
# Total rows: 150

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779506029111,74,33.28,41.31,41.6,17.57,16.09,-2.42,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506029568,74,33.28,41.31,44.6,15.90,15.43,-0.27,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506029690,75,33.80,41.80,43.3,15.03,13.97,-0.34,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506030313,76,34.27,42.35,49.1,13.32,15.64,-2.08,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506030571,76,34.27,42.35,51.5,13.54,16.91,-2.02,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506030993,77,34.76,42.88,47.6,12.57,13.41,0.32,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506031552,78,35.23,43.43,49.8,12.45,15.07,-1.33,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506031577,78,35.23,43.43,50.1,12.54,15.27,-1.32,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506032175,79,35.75,43.91,42.8,12.86,11.49,0.76,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
1779506032577,79,35.75,43.91,45.1,12.41,12.81,-1.72,"{"VIT_Staff": -53; "VIT_TPO": -54; "VIT_VIP": -50; "VIT_TPO": -54; "VIT_Staff": -53}"
